ticker,date,forward_return,z_sentiment,mkt_rf,rf,smb_3,hml_3,smb_5,hml_5,rmw,cma,mom
ADBE,2015-03-23,-0.011132920643203481,-0.4655652903830991,-0.19,0.0,0.2,0.24,0.19,0.24,0.18,0.32,-0.5
ADBE,2015-03-24,0.014181573732312103,-0.46558063909862446,-0.51,0.0,0.61,-0.26,0.54,-0.26,0.11,-0.21,-0.32
ADBE,2015-03-25,0.04662934213292336,-0.4666022051397472,-1.56,0.0,-1.01,1.03,-0.9,1.03,0.35,0.52,-1.19
ADBE,2015-03-26,0.04906128232376905,-0.4666077999159464,-0.22,0.0,0.12,-0.04,0.1,-0.04,0.03,-0.24,-0.01
ADBE,2015-03-27,0.03696629620409775,-0.4666077999159464,0.32,0.0,0.51,-0.72,0.44,-0.72,-0.14,-0.11,1.14
ADBE,2015-03-31,0.028671829147794314,-0.46567880350139834,-0.75,0.0,0.4,0.39,0.44,0.39,0.18,0.24,-0.24
ADBE,2015-04-01,0.018116432874387467,-0.46567880350139834,-0.38,0.0,0.35,0.42,0.35,0.42,-0.16,0.21,-0.15
ADBE,2015-04-02,0.002246276007661141,-0.46567880350139834,0.35,0.0,-0.09,0.28,-0.11,0.28,-0.1,0.22,-0.57
ADBE,2015-04-06,-0.016135423098098567,-0.46568624154458665,0.61,0.0,-0.3,-0.08,-0.3,-0.08,0.2,-0.18,-1.28
ADBE,2015-04-07,-0.01546593714932143,-0.46568624154458665,-0.22,0.0,-0.18,-0.19,-0.19,-0.19,-0.18,-0.26,-0.3
ADBE,2015-04-08,-0.009411440369770818,-0.4656936636945204,0.37,0.0,0.56,-0.74,0.48,-0.74,-0.04,-0.3,1.28
ADBE,2015-04-09,-0.0002620761428149265,-0.4656936636945204,0.41,0.0,-0.69,-0.07,-0.71,-0.07,-0.26,0.14,-0.79
ADBE,2015-04-10,0.0033973884800426735,-0.46223491806186273,0.49,0.0,-0.08,-0.28,-0.16,-0.28,-0.47,0.19,0.31
ADBE,2015-04-13,0.0072349786377947645,-0.4622570659975829,-0.38,0.0,0.51,0.24,0.56,0.24,-0.13,-0.13,0.05
ADBE,2015-04-14,0.014878274235910371,-0.4622570659975829,0.1,0.0,-0.21,0.22,-0.15,0.22,0.07,0.09,-1.14
ADBE,2015-04-15,0.04471921058092576,-0.4622570659975829,0.57,0.0,0.26,0.36,0.28,0.36,-0.22,-0.07,-1.69
ADBE,2015-04-17,0.08557760773273282,-0.4622681046229925,-1.23,0.0,-0.47,0.17,-0.44,0.17,0.15,0.08,0.06
ADBE,2015-04-20,0.07711045344737788,-0.4622681046229925,0.95,0.0,0.17,-0.28,0.16,-0.28,0.46,-0.32,0.3
ADBE,2015-04-21,0.0668721211484824,-0.46229011156409555,-0.1,0.0,0.18,-0.73,0.11,-0.73,0.1,-0.25,1.23
ADBE,2015-04-22,0.06701983521316235,-0.46229011156409555,0.46,0.0,-0.37,0.18,-0.4,0.18,-0.07,0.01,-0.17
ADBE,2015-04-23,0.04600110333094065,-0.46229011156409555,0.29,0.0,0.28,-0.25,0.29,-0.25,0.0,-0.21,-0.26
ADBE,2015-04-24,0.03684347610521299,-0.46229011156409555,0.17,0.0,-0.49,-0.31,-0.53,-0.31,0.83,-0.56,0.4
ADBE,2015-04-27,0.04715872588418746,-0.46229011156409555,-0.53,0.0,-0.7,0.56,-0.66,0.56,0.54,-0.02,-1.2
